,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
2269,0,0,0,0,0,Bug,2.0,6.0,4.0,overestimated
2270,0,6,0,0,0,Improvement,3.0,36.0,-0.875,underestimated
2271,0,9,0,0,0,New Feature,0.0,339.0,48.08695652173913,overestimated
2272,0,1,0,0,0,New Feature,2.0,73.0,20.153846153846153,overestimated
2273,0,5,1,0,1,New Feature,2.0,151.0,6.3478260869565215,overestimated
2274,0,3,0,0,0,Bug,2.0,14.0,-0.5,underestimated
2275,0,4,0,0,0,Bug,3.0,47.0,6.0,overestimated
2276,0,3,0,0,0,New Feature,3.0,52.0,4.260869565217392,overestimated
2277,0,3,1,1,0,Improvement,2.0,535.0,1.8037735849056604,overestimated
2278,0,3,0,0,0,Bug,1.0,31.0,89.63636363636364,overestimated
2279,0,0,0,0,0,Improvement,3.0,10.0,142.0,overestimated
2280,0,16,2,2,0,Improvement,3.0,83.0,2.0,overestimated
2281,0,7,0,0,0,Improvement,3.0,28.0,300.4,overestimated
2282,0,2,0,0,0,Bug,3.0,15.0,55.6,overestimated
2283,0,0,0,0,0,New Feature,2.0,26.0,11.090909090909092,overestimated
2284,0,7,0,0,0,Bug,2.0,17.0,22.0,overestimated
2285,0,5,0,0,0,New Feature,3.0,184.0,34.433734939759034,overestimated
2286,0,9,0,0,0,Improvement,3.0,18.0,70.0,overestimated
2287,0,0,0,0,0,New Feature,3.0,59.0,36.76923076923077,overestimated
2288,0,0,0,0,0,Improvement,2.0,69.0,3.142857142857143,overestimated
2289,0,10,0,0,0,Task,3.0,152.0,37.35064935064935,overestimated
2290,0,3,0,0,0,Improvement,3.0,60.0,38.32,overestimated
2291,0,1,1,0,1,Improvement,3.0,15.0,-0.8,underestimated
2292,0,1,0,0,0,Improvement,3.0,26.0,12.4,overestimated
2293,0,0,1,1,0,Improvement,2.0,13.0,34.0,overestimated
