,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
2155,0,1,0,0,0,Improvement,3.0,7.0,70.0,overestimated
2156,0,1,0,0,0,Improvement,3.0,6.0,34.0,overestimated
2157,0,10,1,1,0,Improvement,2.0,12.0,1006.0,overestimated
2158,0,1,0,0,0,Sub-task,2.0,12.0,250.0,overestimated
2160,0,1,0,0,0,Improvement,3.0,12.0,1.0,overestimated
2161,0,1,0,0,0,Improvement,2.0,7.0,70.0,overestimated
2162,0,1,1,0,1,Improvement,2.0,13.0,22.0,overestimated
2163,0,6,0,0,0,Bug,2.0,9.0,7.0,overestimated
2164,0,16,0,0,0,New Feature,4.0,20.0,358.0,overestimated
2166,0,1,1,1,0,Improvement,3.0,12.0,142.0,overestimated
2167,0,24,0,0,0,Sub-task,2.0,38.0,26.8,overestimated
2168,0,68,1,0,1,Sub-task,2.0,78.0,334.0,overestimated
2169,0,2,0,0,0,Sub-task,2.0,7.0,430.0,overestimated
2170,0,6,0,0,0,Sub-task,2.0,11.0,430.0,overestimated
2171,0,3,0,0,0,Sub-task,2.0,8.0,430.0,overestimated
2172,0,6,0,0,0,Sub-task,3.0,12.0,430.0,overestimated
2173,0,2,0,0,0,Sub-task,2.0,10.0,142.0,overestimated
2174,0,2,0,0,0,New Feature,2.0,13.0,1006.0,overestimated
2175,0,16,0,0,0,Improvement,4.0,24.0,142.0,overestimated
2176,0,19,0,0,0,Improvement,2.0,12.0,286.0,overestimated
2177,0,9,1,1,0,Bug,0.0,10.0,4.0,overestimated
2178,0,19,0,0,0,Improvement,2.0,12.0,286.0,overestimated
2179,0,29,0,0,0,Improvement,2.0,13.0,2014.0,overestimated
2181,0,1,0,0,0,Bug,2.0,12.0,10.0,overestimated
2182,0,5,0,0,0,Bug,2.0,10.0,22.0,overestimated
2183,0,1,0,0,0,Bug,3.0,2.0,142.0,overestimated
2184,0,0,0,0,0,New Feature,2.0,2.0,1006.0,overestimated
2185,0,7,0,0,0,New Feature,2.0,11.0,4.0,overestimated
2186,0,6,0,0,0,Bug,2.0,20.0,82.0,overestimated
